"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"1","1","1","1","DOURADA","G1","P1","","78","42","3",,,"4.78",,"3.76","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F1_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-43-01.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F1_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-43-09.jpg",,,,,,,,,,
"2","1","1","1","DOURADA","G1","P2","","82","37","3",,,"6.87","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F2_C%C3%A1psulas_1_2024-02-17-02-44-08.jpg","5.3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F2_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-54-00.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F2_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-54-16.jpg",,,,,,,,,,
"3","1","1","1","DOURADA","G1","P3","","70","34","3",,,"3.33","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F3_C%C3%A1psulas_1_2024-02-17-02-45-30.jpg","2.66","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F3_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-56-16.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F3_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-56-27.jpg",,,,,,,,,,
"4","1","1","1","DOURADA","G1","P4","","68","40","2",,,"2.85",,"2.32","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F4_Gr%C3%A3os%20-%20contagem_1_2024-02-17-03-04-40.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F4_Gr%C3%A3os%20-%20Cor_1_2024-02-17-03-04-50.jpg",,,,,,,,,,
"5","1","1","1","DOURADA","G1","P5","","88","44","2",,,"5.19","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F5_C%C3%A1psulas_1_2024-02-17-03-03-43.jpg","3.91","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F5_Gr%C3%A3os%20-%20contagem_1_2024-02-17-03-09-18.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F5_Gr%C3%A3os%20-%20Cor_1_2024-02-17-03-09-49.jpg",,,,,,,,,,
"6","2","1","2","DOURADA","G3","P1","","75.5","38","4","2",,"8","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F6_C%C3%A1psulas_1_2023-12-16-10-57-06.jpg","3.97","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F6_Gr%C3%A3os%20-%20contagem_1_2023-12-16-11-49-05.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F6_Gr%C3%A3os%20-%20Cor_1_2023-12-16-11-49-19.jpg",,,,,,,,,,
"7","2","1","2","DOURADA","G3","P2","","74","43","3",,,"3.50","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F7_C%C3%A1psulas_1_2023-12-16-11-11-21.jpg","3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F7_Gr%C3%A3os%20-%20contagem_1_2023-12-16-11-54-31.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F7_Gr%C3%A3os%20-%20Cor_1_2023-12-16-11-54-49.jpg",,,,,,,,,,
"8","2","1","2","DOURADA","G3","P3","",,,,,,,,,,,,,,,,,,,,
"9","2","1","2","DOURADA","G3","P4","",,,,,,,,,,,,,,,,,,,,
"10","2","1","2","DOURADA","G3","P5","",,,,,,,,,,,,,,,,,,,,
"11","3","1","3","DOURADA","G5","P1","","71","42","4",,,"4.6",,"3.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F11_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-40-27.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F11_Gr%C3%A3os%20-%20Cor_1_2024-02-17-11-41-05.jpg",,,,,,,,,,
"12","3","1","3","DOURADA","G5","P2","","76","45","5",,,"6.06","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F12_C%C3%A1psulas_1_2024-02-17-11-36-57.jpg","5.91","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F12_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-41-59.jpg",,,,,,,,,,,
"13","3","1","3","DOURADA","G5","P3","","84","41","6",,,"11.53","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F13_C%C3%A1psulas_2_2024-02-17-11-37-27.jpg","9.05","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F13_Gr%C3%A3os%20-%20contagem_1_2024-02-17-11-44-09.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F13_Gr%C3%A3os%20-%20Cor_1_2024-02-17-11-44-27.jpg",,,,,,,,,,
