specie,leaf,id,x,y,area,area_ch,perimeter,radius_mean,radius_min,radius_max,radius_sd,diam_mean,diam_min,diam_max,major_axis,minor_axis,caliper,length,width,radius_ratio,theta,eccentricity,form_factor,narrow_factor,asp_ratio,rectangularity,pd_ratio,plw_ratio,solidity,convexity,elongation,circularity,circularity_haralick,circularity_norm,coverage,asm,con,cor,var,idm,sav,sva,sen,ent,dva,den,f12,f13,DGCI,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,pcv,prop_veins
E1,1001,3,864.3281107498,492.2878946038,201207,204879,3558.0188283695,422.5197645175,75.2125652659,830.338392867,226.2242312656,845.039529035,150.4251305318,1660.676785734,474.8045935832,65.141994736,1567.1834608622,1639.0180565742,165.2550173607,11.0398892782,0.4802429089,0.9905437148,0.1997268561,0.9561721755,9.9181137296,1.3461557371,2.2703269382,1.9719957471,0.9820772261,0.9166669787,0.8991743766,62.9177811062,1.8677033939,0.1982721368,0.1047953125,0.0817331938,1.3792877062,0.8469867644,5.5070862684,0.7216025137,12.2448547526,140.9594325455,1.0953984798,1.3549871737,1.3792877062,0.4408957659,0.3432960241,0.6555708414,0.5088099555,1,0.0006538132,0.1108286573,0.0006703448,0.0398434457,0.0005051776,0.01995702,0.0004599441,0.0118548392,0.0003999569,0,0.0014206817,0.0018657583,0.0008049149,0.0017351303,0.0004280058,0.0011927278,0.000340971,0.0008241269,0.0002104817,0,0.0018059122,0.0053362567,0.0041076931,0.0055908622,0.0028199404,0.0017848639,0.0015546844,0.0014609516,0.0004369421,-0.1335830384,0.01904311,-0.0226944278,0.0114432762,-0.0046089447,0.0051741075,-0.0014115501,0.0029791479,-0.0009333481,0.0013740201,0.1684948686,0.072363287559578
E1,1002,1,767.925513331,438.0458859774,102947,105791,2616.447834896,318.687487905,54.332573149,621.2787963287,170.6143920027,637.3749758099,108.6651462981,1242.5575926575,358.7238211384,44.4575944301,1201.49906367,1237.8139206171,121.6922947105,11.4347390584,0.0531014206,0.9922906317,0.1889728437,0.9706621033,10.1716704707,1.4632035555,2.1776528289,1.9245574646,0.9731168058,0.9537841142,0.9016877313,66.4982881748,1.8678816257,0.1866929883,0.0536182292,0.0889933425,1.7372645545,0.8111868589,5.6004863432,0.7102113937,14.0254255363,185.0527159905,1.0489839913,1.3266819321,1.7372645545,0.4656683867,0.2913305198,0.6033817533,0.5357122749,1,-0.0015893376,0.1053089201,0.0007547744,0.039155282,-0.0001318545,0.0203980091,0.0007328919,0.0113245915,0.0008632811,0,-0.0054819853,-0.0012279764,-0.0047421998,-0.0005070791,-0.001670388,-0.0014292845,-0.0004987261,-0.0010956804,-0.0005745936,0,0.0028239872,0.0022787497,-0.0049073427,0.000999987,-0.0002951981,-0.0004486064,-0.0011832373,0.0007867141,0.0004044657,-0.1216660468,0.0089352162,-0.0088192003,0.0110512682,-0.003416871,0.0061011671,-0.0004126989,0.0024081349,-0.0022540133,0.0012625084,0.1765742559,0.116467696970286
E1,1003,1,797.7380151797,314.0693474629,88432,90739,2386.6538956567,293.68747342,51.0269051946,572.3305885174,157.058476772,587.37494684,102.0538103893,1144.6611770348,330.4464191433,41.4013929711,1115.4573053237,1140.2319286623,112.689271372,11.2162512372,0.0474385314,0.9921202533,0.1950924326,0.9782722947,10.1183716496,1.4530023661,2.1396192255,1.904871508,0.9745754306,0.9638808014,0.9011698686,64.4123939033,1.8699243712,0.1925675175,0.0460583333,0.0821849988,1.9862410473,0.7970253719,5.8928308572,0.7042653686,12.6895811201,152.5719620783,1.0711957032,1.3603916213,1.9862410473,0.4746723434,0.2896887876,0.6077497913,0.5012888053,1,-0.0047692763,0.1068432856,-0.0007038884,0.0376183294,0.0010697594,0.0196464096,0.0012401325,0.0115825648,0.0007188905,0,-0.0033992504,-0.0062083781,-0.0006508905,-0.0032870499,0.0002540879,-0.0019915695,5.16574e-05,-0.0015863654,-0.0002595793,0,0.0030694919,0.0021106281,-0.0039318362,0.0006282116,0.0002886441,-0.0007299698,-0.0008145527,0.000364156,0.0005140147,-0.1230823371,0.0078587603,-0.008853083,0.0106135341,-0.0027541142,0.0063081126,-0.0004916444,0.0026442604,-0.002261917,0.0012475019,0.1772303574,0.11753663832097
E1,1004,1,659.7998034913,387.1028277346,193925,199762,3002.8347032479,368.3009615715,91.4553155859,701.4264410418,185.869256308,736.6019231429,182.9106311718,1402.8528820835,405.6042484192,75.2715293184,1372.77856918,1395.9560276887,200.883682689,7.6696082294,0.1179434633,0.9826293949,0.2702594021,0.983396713,6.9490762465,1.4460476355,2.1874137393,1.8804859898,0.9707802285,0.772840063,0.856095981,46.497441047,1.9815055426,0.2683118063,0.1010026042,0.1051252069,1.0968256808,0.8757425231,5.4135198463,0.735591708,13.4202763818,170.2550744686,1.0227838625,1.2656725396,1.0968256808,0.4191106244,0.3238061449,0.6220398619,0.5425995233,1,0.0003892699,0.1073243823,-0.0030200769,0.0372530313,-0.0013216233,0.0172050628,-0.0016804106,0.0099579982,-0.0024272216,0,0.0034102317,-0.0053142806,0.0011008382,-0.0033969537,-0.0001128577,-0.0019000171,0.0003776703,-0.0012585859,0.0002348485,0,0.0085134876,-0.0023504509,0.0011663152,-0.0009308045,0.0001585801,-0.0010784546,0.0003107745,0.0015077737,0.0019438158,-0.1771220691,-0.0391927603,-0.0173683644,-0.0174532008,-0.0106761311,-0.003817709,-0.0039422962,-0.0070518304,-0.0015953364,-0.0029266553,0.1649720194,0.0734768596106742
E1,1005,1,560.6999471956,442.7476238011,231885,252304,3178.9595949289,389.0708938881,100.7941864199,738.2344181975,193.905078787,778.1417877763,201.5883728399,1476.4688363951,425.017049756,91.2309888991,1329.6890613974,1446.1008145645,269.8307466234,7.3241765663,0.052444828,0.9766904768,0.2883450526,0.9194995591,5.3592884898,1.6827412833,2.3907541148,1.8526144439,0.9190698522,0.7849741984,0.8134080668,43.5810169101,2.006501822,0.2865109152,0.1207734375,0.091216099,0.889668131,0.9114796885,6.0252202891,0.7369405768,13.1500638251,165.0221278832,1.0748447854,1.3149116486,0.889668131,0.4074472968,0.363143709,0.664969752,0.4945836304,1,-0.0016136459,0.1058632159,-0.0084757709,0.0339081871,-0.0059860551,0.0146708079,-0.0044043898,0.0086319998,-0.0026876016,0,0.000750644,-0.0028731043,0.0020576161,-0.0011792255,0.0008717667,-0.0022859429,0.0006805748,-0.0016546073,0.0005653682,0,3.52988e-05,0.0108890297,-0.0005355225,0.0016214774,-0.0035407553,0.0034159513,-0.0009752877,0.0005293189,-0.0020709163,-0.1911562313,-0.0823560495,-0.0258677093,-0.0236492302,-0.0153288153,-0.0098314409,-0.0043795281,-0.0024337458,-9.60472e-05,-3.47746e-05,0.135627067,0.0737520753821938
E1,1006,7,848.3071240567,633.2948180604,237947,241337.5,3789.934700697,459.9579800028,87.8352645825,892.7026342062,243.0338263948,919.9159600055,175.6705291649,1785.4052684125,515.2474682326,71.6043395212,1740.6541873675,1761.9909456211,182.9067563124,10.1633738846,0.5829300446,0.9902964828,0.2081740748,0.9878905404,9.6332742494,1.3544194653,2.1773047905,1.9486550357,0.9859512094,0.8151035704,0.8961931349,60.3647242266,1.8925677418,0.2068582615,0.1239307292,0.0731847867,1.4390596485,0.8482824505,5.7425616008,0.7050108253,12.3014761282,142.6902930683,1.1140230529,1.4023390269,1.4390596485,0.4601938484,0.3212936791,0.6446773075,0.4862536838,1,0.000747549,0.109659456,0.0007700057,0.0388711967,0.0010449437,0.019230073,0.0009088105,0.0113162435,0.000628733,0,0.0028498111,0.0048820117,0.0022474934,0.0038013126,0.0012092262,0.0025494319,0.001065442,0.0016597743,0.0009499397,0,-0.0017725293,0.0016854209,-0.0010092653,0.0027304233,6.94003e-05,0.0015031677,-0.0004087133,0.0007441138,-0.0009351765,-0.1382310414,0.0157602673,-0.0178950535,0.011419275,-0.0028498308,0.0046025452,-0.0007804744,0.0031247422,-0.0009852484,0.0015474229,0.1659953782,0.0748401955057219
E1,1007,5,867.9065022141,648.4828373228,262847,270384,3721.8148596499,453.6984079075,101.3474068502,873.2504802707,232.8040918561,907.396815815,202.6948137003,1746.5009605413,503.238287322,82.2987133985,1626.2754994158,1710.9404125264,212.8687742387,8.6164067479,0.559376861,0.9865369926,0.2384533112,0.9505155688,8.0375358887,1.3856189662,2.2885512701,1.9346070729,0.9721248299,0.9359087034,0.8755837593,52.6995014191,1.9488420684,0.2370970557,0.1368994792,0.0693372017,1.2302624723,0.8654988336,5.5734267802,0.701486058,14.9442168611,208.3536068131,1.1134481853,1.3994466882,1.2302624723,0.4524926683,0.3255528636,0.6479360705,0.5094800221,1,0.0008188241,0.1087675688,0.0010901666,0.0383098579,0.0004717115,0.0191715384,0.0007284172,0.0112667696,0.0008565911,0,0.0031241256,0.0049524237,0.0019685539,0.0037361133,0.0002023548,0.0023881469,0.0001173663,0.0014061688,0.0002758499,0,0.0070590613,-0.0010289642,0.0042514071,-0.0007579277,-0.0008848398,0.0009963622,0.0003651934,0.0010272492,0.0002870989,-0.1614728556,0.0260262036,-0.0168608035,0.0190430026,-0.0025813857,0.0050191607,-0.0015652778,0.0029608526,-0.0019713472,0.0032017922,0.1738772116,0.0747392970054823
E1,1008,2,876.0951359201,569.1930014738,247868,257861.5,3876.3245276417,468.8631449512,85.75872743,908.3506425838,247.0455574973,937.7262899023,171.51745486,1816.7012851676,524.7531279649,74.0184056316,1761.4272621939,1792.8057309838,191.5531648265,10.5919323876,0.5569289834,0.9900019367,0.2072955924,0.9824975633,9.3593114612,1.3854858703,2.2006724949,1.9534392371,0.9612446992,0.8608457129,0.8931545334,60.6205393338,1.8978813046,0.2059917782,0.1290979167,0.0800871045,1.2769641182,0.8440140602,5.0932026299,0.7122423871,13.2739312793,164.0841432542,1.0678550526,1.3417727607,1.2769641182,0.4483597415,0.3102193265,0.6237765423,0.5298001868,1,0.0011870739,0.1099218355,-0.000165518,0.0388573373,0.0010938723,0.0195617306,0.0008249075,0.0116287328,0.0006183035,0,0.0010534869,0.0043812625,0.0019267231,0.0027019252,0.0010847863,0.0023643861,0.0003646904,0.0018850327,0.0003824416,0,0.0063572621,0.0005726199,-0.0041831651,-0.0020680073,-0.0004523284,-0.0011701715,0.0003911979,-0.0005319473,0.0003910115,-0.1397309461,0.0163918352,-0.0149659521,0.0183951311,-0.0045757621,0.0092565466,-0.0024641664,0.0021726836,-0.0007391672,0.0004796652,0.1660812427,0.0723288201784821
E1,1009,1,936.9986453164,520.1020255324,227368,245025.5,3293.8145007124,398.9173701136,102.7068804245,756.3277215758,200.837897912,797.8347402271,205.4137608491,1512.6554431516,438.6001806513,84.1856323782,1483.8234396315,1499.041322599,236.7641684966,7.3639440556,0.2225903177,0.9814063438,0.2633546138,0.9898482565,6.3313690248,1.5609904309,2.2198156551,1.8975711954,0.927936072,0.9383432714,0.8420562763,47.7165386734,1.9862654124,0.2616345758,0.1184208333,0.0763885905,1.3498791206,0.8481659615,5.4452453929,0.6744434525,14.6129893071,200.4694949928,1.0469142468,1.3785784604,1.3498791206,0.4756135535,0.2479427013,0.5685598029,0.5056445433,1,0.0041042219,0.1076782288,0.0041493873,0.0362422336,0.0037954392,0.0178205287,0.0027370679,0.0095693416,0.0018843894,0,-0.0087389934,-0.0041223821,-0.0051994436,-0.0008317885,-0.0024514894,-0.001159756,-0.0024189,-0.0004772195,-0.0019142265,0,-0.0055949774,-0.0056104943,0.0003449343,-0.0015058493,0.0007418232,-0.0033238354,0.0005009573,-0.0010237794,-0.00061576,-0.178761693,0.0565854221,-0.0193282817,0.0300869732,-0.0136702722,0.0045835648,-0.0031402708,0.0015790676,-0.0020550391,-0.0010228117,0.1462387724,0.0744431934133211
E1,1010,2,885.1012380472,537.4554089282,293114,302902,3242.3952365161,404.457362498,142.5018480836,747.5011421096,184.3672771336,808.9147249959,285.0036961673,1495.0022842192,430.6388883689,110.0701092152,1431.5425246915,1459.529863809,299.8732572267,5.2455540203,0.2853025163,0.9667833539,0.3503600025,0.9808244149,4.8671558021,1.4931868634,2.2649660632,1.8428950124,0.9676859182,0.9352378512,0.7945411981,35.8670239899,2.1937589402,0.3486327899,0.1526635417,0.090629242,0.9198700684,0.8635842385,4.3715681318,0.7230854142,13.1649417526,160.0500388493,1.0206576489,1.2732051197,0.9198700684,0.418565391,0.3056496394,0.6070351238,0.5222456713,1,0.0063010697,0.1050948362,0.0057735855,0.0342334613,0.0054436389,0.0155368151,0.0042556905,0.0084042572,0.0033380172,0,-0.0062399009,-0.0061172614,-0.0033993358,-0.0037164054,-0.0015747471,-0.0033049453,-0.0004707924,-0.0025188317,-0.0002148613,0,-0.000507992,-0.001083155,0.0021414501,0.0048038994,-0.0043669538,0.0016608276,-0.0031291044,0.0003852939,-0.0022096064,-0.2487794204,0.0551052615,-0.0154002762,0.0261438829,-0.0075087963,0.0081422489,-0.000762724,0.0010162988,-0.0001711087,0.0005925827,0.171307541,0.0539210000204699
