specie,img,id,x,y,area,area_ch,perimeter,radius_mean,radius_min,radius_max,radius_sd,diam_mean,diam_min,diam_max,major_axis,minor_axis,caliper,length,width,radius_ratio,theta,eccentricity,form_factor,narrow_factor,asp_ratio,rectangularity,pd_ratio,plw_ratio,solidity,convexity,elongation,circularity,circularity_haralick,circularity_norm,coverage,pcv
E1,1001,3,864.32811,492.28789,201207,204879,3558.01883,422.51976,75.21257,830.33839,226.22423,845.03953,150.42513,1660.67679,474.80459,65.14199,1567.18346,1639.01806,165.25502,11.03989,0.48024,0.99054,0.19973,0.95617,9.91811,1.34616,2.27033,1.972,0.98208,0.91667,0.89917,62.91778,1.8677,0.19827,0.1048,1.14809
E1,1002,1,767.92551,438.04589,102947,105791,2616.44783,318.68749,54.33257,621.2788,170.61439,637.37498,108.66515,1242.55759,358.72382,44.45759,1201.49906,1237.81392,121.69229,11.43474,0.0531,0.99229,0.18897,0.97066,10.17167,1.4632,2.17765,1.92456,0.97312,0.95378,0.90169,66.49829,1.86788,0.18669,0.05362,1.35658
E1,1003,1,797.73802,314.06935,88432,90739,2386.6539,293.68747,51.02691,572.33059,157.05848,587.37495,102.05381,1144.66118,330.44642,41.40139,1115.45731,1140.23193,112.68927,11.21625,0.04744,0.99212,0.19509,0.97827,10.11837,1.453,2.13962,1.90487,0.97458,0.96388,0.90117,64.41239,1.86992,0.19257,0.04606,1.46256
E1,1004,1,659.7998,387.10283,193925,199762,3002.8347,368.30096,91.45532,701.42644,185.86926,736.60192,182.91063,1402.85288,405.60425,75.27153,1372.77857,1395.95603,200.88368,7.66961,0.11794,0.98263,0.27026,0.9834,6.94908,1.44605,2.18741,1.88049,0.97078,0.77284,0.8561,46.49744,1.98151,0.26831,0.101,1.26186
E1,1005,1,560.69995,442.74762,231885,252304,3178.95959,389.07089,100.79419,738.23442,193.90508,778.14179,201.58837,1476.46884,425.01705,91.23099,1329.68906,1446.10081,269.83075,7.32418,0.05244,0.97669,0.28835,0.9195,5.35929,1.68274,2.39075,1.85261,0.91907,0.78497,0.81341,43.58102,2.0065,0.28651,0.12077,1.07432
E1,1006,7,848.30712,633.29482,237947,241337.5,3789.9347,459.95798,87.83526,892.70263,243.03383,919.91596,175.67053,1785.40527,515.24747,71.60434,1740.65419,1761.99095,182.90676,10.16337,0.58293,0.9903,0.20817,0.98789,9.63327,1.35442,2.1773,1.94866,0.98595,0.8151,0.89619,60.36472,1.89257,0.20686,0.12393,1.13443
E1,1007,5,867.9065,648.48284,262847,270384,3721.81486,453.69841,101.34741,873.25048,232.80409,907.39682,202.69481,1746.50096,503.23829,82.29871,1626.2755,1710.94041,212.86877,8.61641,0.55938,0.98654,0.23845,0.95052,8.03754,1.38562,2.28855,1.93461,0.97212,0.93591,0.87558,52.6995,1.94884,0.2371,0.1369,1.22011
E1,1008,2,876.09514,569.193,247868,257861.5,3876.32453,468.86314,85.75873,908.35064,247.04556,937.72629,171.51745,1816.70129,524.75313,74.01841,1761.42726,1792.80573,191.55316,10.59193,0.55693,0.99,0.2073,0.9825,9.35931,1.38549,2.20067,1.95344,0.96124,0.86085,0.89315,60.62054,1.89788,0.20599,0.1291,1.15415
E1,1009,1,936.99865,520.10203,227368,245025.5,3293.8145,398.91737,102.70688,756.32772,200.8379,797.83474,205.41376,1512.65544,438.60018,84.18563,1483.82344,1499.04132,236.76417,7.36394,0.22259,0.98141,0.26335,0.98985,6.33137,1.56099,2.21982,1.89757,0.92794,0.93834,0.84206,47.71654,1.98627,0.26163,0.11842,1.13512
E1,1010,2,885.10124,537.45541,293114,302902,3242.39524,404.45736,142.50185,747.50114,184.36728,808.91472,285.0037,1495.00228,430.63889,110.07011,1431.54252,1459.52986,299.87326,5.24555,0.2853,0.96678,0.35036,0.98082,4.86716,1.49319,2.26497,1.8429,0.96769,0.93524,0.79454,35.86702,2.19376,0.34863,0.15266,1.23306
E1,1011,4,913.76685,610.34884,330115,341496,3562.47972,444.21091,131.29049,823.31369,206.41239,888.42183,262.58097,1646.62739,476.6544,112.76335,1581,1600.36839,331.52667,6.27093,0.50094,0.97161,0.32687,0.9879,4.82727,1.60721,2.25331,1.84403,0.96667,0.92455,0.79284,38.44497,2.15206,0.3254,0.17193,1.12174
E1,1012,2,888.56028,620.16721,285026,304674,3780.68492,459.82795,94.14344,888.98007,238.62943,919.6559,188.28688,1777.96015,510.48344,88.16841,1654.26872,1727.27469,242.21769,9.44283,0.56789,0.98497,0.25058,0.95773,7.13108,1.46785,2.28541,1.91962,0.93551,0.91931,0.85977,50.14833,1.92695,0.24925,0.14845,1.13157
E1,1013,3,941.25211,570.84877,331966,344493.5,3531.907,434.72088,139.95924,809.90078,203.96302,869.44175,279.91847,1619.80156,465.89192,116.25132,1496.09124,1564.08748,314.3546,5.78669,0.32703,0.96837,0.33441,0.95653,4.97555,1.48111,2.36076,1.88023,0.96364,0.93369,0.79902,37.57724,2.13137,0.33286,0.1729,0.99225
E1,1014,10,873.7584,645.98431,252814,270674,3650.02597,444.47437,99.40517,847.53439,228.11486,888.94874,198.81033,1695.06878,492.73483,82.39409,1581.55999,1670.61798,236.66502,8.52606,0.53569,0.98592,0.23846,0.94669,7.059,1.5639,2.30786,1.91373,0.93402,0.90774,0.85834,52.69759,1.94847,0.23706,0.13167,1.24805
E1,1015,4,919.37945,645.83886,298995,317866,3754.70216,459.89815,107.67059,880.42297,233.09183,919.7963,215.34118,1760.84595,506.89222,94.23614,1653.76087,1709.23536,260.73409,8.17701,0.56291,0.98257,0.26652,0.96754,6.55547,1.49051,2.2704,1.90597,0.94063,0.92825,0.84746,47.15058,1.97303,0.26516,0.15573,1.12752
E1,1016,3,846.42378,599.65438,239129,247785,3837.40274,464.7842,81.93468,902.76195,246.67428,929.5684,163.86936,1805.52391,521.31972,71.26183,1695.36427,1784.51157,188.8619,11.01807,0.59572,0.99061,0.20406,0.95004,9.44876,1.40939,2.26347,1.94459,0.96507,0.92463,0.89417,61.5804,1.8842,0.20277,0.12455,1.27353
E1,1017,7,864.5354,610.33304,214134,217422.5,3606.83715,433.39563,78.93921,845.10474,229.71027,866.79126,157.87843,1690.20948,485.71873,68.24819,1610.15589,1669.76846,179.28518,10.70577,0.53308,0.99008,0.20684,0.9643,9.31348,1.39803,2.24005,1.95064,0.98488,0.74316,0.89263,60.75296,1.88671,0.20543,0.11153,1.19414
E1,1018,9,892.7482,629.48717,282584,293424,3487.70007,424.48328,109.06877,809.73846,210.6186,848.96655,218.13754,1619.47692,463.89441,96.60522,1547.43174,1569.65888,264.39523,7.42411,0.55255,0.97808,0.29193,0.98584,5.93679,1.46863,2.25386,1.90163,0.96306,0.92382,0.83156,43.04579,2.01541,0.29047,0.14718,1.27053
E1,1019,2,839.69221,626.24914,204137,218174,3842.27575,448.39469,64.66098,883.99047,242.5607,896.78939,129.32196,1767.98093,506.01627,61.82419,1709.32648,1738.81087,165.91201,13.67116,0.53007,0.99251,0.17376,0.98304,10.48032,1.41322,2.24783,2.01724,0.93566,0.6976,0.90458,72.31949,1.84859,0.17243,0.10632,1.33302
E1,1020,3,862.12241,620.78876,198574,206828.5,3536.60461,423.43914,74.45111,822.09125,224.8965,846.87829,148.90221,1644.18249,475.02657,64.89612,1573.5962,1621.79312,169.36266,11.04203,0.5005,0.99062,0.19951,0.97028,9.57586,1.38322,2.24747,1.97448,0.96009,0.74057,0.89557,62.98696,1.88282,0.19805,0.10342,1.19763
E1,1021,5,939.19598,648.52437,335713,352507,3728.90317,460.05955,138.9835,865.08046,220.58335,920.11911,277.96701,1730.16091,498.34996,109.28383,1613.23836,1677.35769,290.56865,6.22434,0.57205,0.97566,0.3034,0.96177,5.77267,1.4518,2.31144,1.89484,0.95236,0.92743,0.82677,41.41847,2.08565,0.30204,0.17485,1.21199
E1,1022,9,904.01394,635.84743,364944,373809,3730.84935,462.90161,135.46733,872.09306,220.46423,925.80323,270.93465,1744.18612,499.3602,116.21417,1672.06848,1686.03786,329.33435,6.43766,0.5484,0.97254,0.32947,0.99171,5.11953,1.52152,2.23128,1.8512,0.97628,0.83884,0.80467,38.14075,2.09967,0.3281,0.19008,1.15469
E1,1023,3,865.83583,594.89098,224092,231482.5,3666.26356,438.81203,77.88084,854.05313,232.83288,877.62406,155.76167,1708.10625,491.72471,70.39657,1629.06507,1681.21433,184.05757,10.96615,0.53436,0.9897,0.2095,0.96898,9.13418,1.38086,2.25053,1.96554,0.96807,0.93303,0.89052,59.98201,1.88467,0.20811,0.11671,1.26356
E1,1024,4,885.2107,633.04271,234853,243835,3756.93975,452.73121,85.02118,880.75443,237.9988,905.46241,170.04236,1761.50887,506.22168,73.00492,1702.46175,1733.58116,196.5026,10.35924,0.5689,0.98955,0.20909,0.98205,8.82218,1.4505,2.20677,1.94652,0.96316,0.89824,0.88665,60.09971,1.90224,0.20775,0.12232,1.32139
E1,1025,7,854.85567,614.85644,233091,242560,3770.12352,455.02323,84.04761,882.85869,239.35969,910.04646,168.09522,1765.71739,509.02355,72.21597,1603.44161,1739.28345,196.24419,10.50427,0.578,0.98989,0.20607,0.9219,8.86285,1.46434,2.35127,1.94785,0.96096,0.91509,0.88717,60.97975,1.901,0.20475,0.1214,1.28298
E1,1026,3,883.21173,568.27906,248061,258200.5,3653.54069,444.53054,95.25402,848.62091,229.46165,889.06108,190.50805,1697.24182,493.9064,79.36549,1608.48531,1678.2263,208.46569,8.90903,0.53302,0.98701,0.23353,0.95844,8.05037,1.41035,2.27142,1.93648,0.96073,0.85743,0.87578,53.81079,1.93728,0.23212,0.1292,1.14808
E1,1027,6,905.50936,628.15263,307143,319655.5,3535.7417,437.45787,122.21531,823.89921,210.55198,874.91574,244.43062,1647.79842,473.83831,105.65678,1519.64897,1586.18948,304.54284,6.74137,0.54005,0.97482,0.30874,0.95805,5.20843,1.57276,2.32668,1.87004,0.96086,0.82474,0.808,40.70244,2.07767,0.30729,0.15997,1.24853
E1,1028,5,886.6404,619.6225,208994,219761.5,3724.18448,452.71582,71.25075,883.32422,245.56311,905.43165,142.5015,1766.64845,511.13866,63.00251,1700.99265,1746.13795,171.26815,12.3974,0.63176,0.99237,0.18936,0.97415,10.19535,1.43094,2.18942,1.9423,0.951,0.8919,0.90192,66.36339,1.84358,0.18804,0.10885,1.31258
E1,1029,3,888.64433,633.40485,256887,265689,3894.14285,474.31257,86.45752,919.85331,250.99617,948.62514,172.91504,1839.70661,531.32563,75.12707,1740.01667,1804.02972,191.28248,10.63937,0.60205,0.98995,0.21288,0.96452,9.43123,1.34331,2.23799,1.95165,0.96687,0.87253,0.89397,59.0312,1.88972,0.2116,0.1338,1.16223
E1,1030,4,899.86637,650.41042,264031,269810.5,3815.76313,466.86775,98.32092,900.61641,242.65332,933.7355,196.64184,1801.23282,520.05237,79.82627,1697.3877,1764.98927,217.97696,9.15997,0.5939,0.98815,0.22788,0.9617,8.09714,1.45713,2.24802,1.92427,0.97858,0.85228,0.8765,55.14522,1.92401,0.22657,0.13752,1.14138
E1,1031,10,912.61347,632.4399,293757,299573,3902.21897,479.08788,102.02655,918.68971,246.86888,958.17575,204.05309,1837.37942,531.93059,86.60075,1703.76818,1798.82074,228.35391,9.00442,0.59513,0.98666,0.24242,0.94716,7.87734,1.39832,2.29035,1.92495,0.98059,0.88472,0.87305,51.83643,1.94066,0.24114,0.153,1.10872
